ID,Country,Location,Latitude,Longitude,Last signal
"2010","no","","0.00","0.00","1698977701"
"2011","se","Gothenburg","57.71","11.97","1698977701"
"2013","nl","Delft","52.01","4.33","1698977701"
"2014","us","Fairfield","41.19","-73.25","1698977701"
"2015","gb","Swindon","51.58","-1.83","1696748102"
"2016","us","Carolina Beach","34.07","-77.91","1698977701"
"2017","ca","Corner Brook","48.93","-57.99","1698977701"
"2019","ca","Victoria, BC","48.42","-123.31","1698977701"
"2020","gb","Liverpool","53.40","-3.00","1698977701"
"2021","gb","Suffolk","52.48","1.76","1698977701"
"2023","us","Baltimore, Maryland","39.28","-76.58","1698977701"
"2024","hr","Novi Vinodolski","45.13","14.79","1698977701"
"2025","ca","Windsor, Ontario","42.32","-83.05","1698977701"
"2028","us","At Sea","37.85","-122.50","1698977701"
"2029","nl","Den Oever","52.93","5.05","1695662702"
"2030","de","Rostock","54.08","12.11","1698977701"
"2031","pl","Gdynia","54.50","18.43","1698977701"
"2033","us","Bodega Bay","38.39","-122.00","1698977701"
"2034","ru","Lomonosov","59.92","29.71","1698977701"
"2035","us","Seattle","47.61","-122.33","1698977701"
"2037","fr","France","47.66","-3.19","1698977701"
"2038","fr","Fos-sur Mer","0.00","0.00","1697197201"
"2039","dk","Svendborg","55.05","10.66","1698873602"
"2040","vn","HCMC","10.74","106.72","1698977701"
"2041","us","New York","40.78","-73.98","1698977701"
"2042","ca","Vancouver","49.25","-123.12","1698977701"
"2043","pl","Szczecin-Golecin","53.48","14.58","1698977701"
"2044","cn","Fujian","23.70","117.41","1698977701"
"2045","gb","Portsmouth","50.83","-0.64","1698977701"
"2046","pt","Faial Island","38.58","-28.71","1698977701"
"2047","us","Galveston Bay Texas","29.55","-95.07","1698977701"
"2049","us","Maryland","39.29","-76.61","1698977701"
"2051","no","Lovund","66.37","12.36","1698977701"
"2052","nl","Amersfoort","52.16","5.37","1698977701"
"2053","us","New Jersey, Howell","40.13","-74.21","1698977701"
"2055","gb","London & Poole","50.75","-2.00","1698977701"
"2056","us","New Orleans","29.95","-90.07","1698977701"
"2057","us","Seattle","47.67","-122.38","1698977701"
"2058","dk","Humlebaek","55.96","12.53","1698925202"
"2059","pt","Azores","37.79","-25.51","1698977701"
"2060","gb","Solent","50.84","-0.99","1698977701"
"2061","be","Ostend","51.22","2.93","1698977701"
"2066","gb","Orkney","59.00","-3.00","1698977701"
"2069","pt","Albufeira","37.09","-8.17","1698977701"
"2070","au","Nelson Bay, NSW","-32.71","152.16","1698977701"
"2071","us","Cape Canaveral","28.47","-80.58","1698977701"
"2072","de","Walsum","51.57","6.76","1698977701"
"2073","gb","Felixstowe ","51.96","1.35","1698977701"
"2076","es","Murcia","37.80","-0.80","1698977701"
"2077","nl","Harderwijk","52.34","5.61","1698977701"
"2079","ca","Halifax","44.67","-63.65","1698977701"
"2081","mq","Fort-de-France","14.61","-61.08","1698977701"
"2082","nl","Amsterdam","0.00","0.00","1698977701"
"2083","cn","Yangpu","31.27","121.52","1698977701"
"2084","gr","Ios","36.72","25.33","1698977701"
"2085","ie","Kinsale","51.70","-8.53","1698977701"
"2086","nl","Katwijk","52.20","4.41","1698977701"
"2088","sg","Singapore","1.26","103.85","1698975301"
"2092","pt","Lisbon","0.00","0.00","1698977701"
"2093","fr","Rouen","49.51","0.07","1698977701"
"2097","nl","Hellevoetsluis","51.85","4.15","1698977701"
"2098","it","Palermo","38.12","13.18","1698909301"
"2099","cy","Limassol","34.67","33.04","1698977701"
"2100","us","Portsmouth","0.00","0.00","1698977701"
"2101","no","Tysnes","60.06","5.52","1698977701"
"2102","fr","Antibes","43.60","7.10","1698418501"
"2103","gb","London","51.41","-0.18","1698977701"
"2104","dk","Gershøj","55.71","11.97","1698977701"
"2105","nl","Spijkenisse","51.85","4.32","1698977701"
"2106","nl","Zwolle","0.00","0.00","1694421901"
"2107","br","Santos","-23.95","-46.32","1698977701"
"2109","se","Oskarshamn","57.41","16.67","1698977701"
"2110","de","Bremen","53.07","8.81","1698977701"
"2111","tr","Göcek","0.00","0.00","1698977701"
"2112","nl","Harlingen","53.18","5.43","1698977701"
"2114","es","Fuerteventura","28.50","-13.86","1698977701"
"2118","gr","Alimos","37.91","23.72","1698977701"
"2120","gb","Aberdeen","0.00","0.00","1698977701"
"2122","no","Homborsund","58.16","8.31","1698977701"
"2123","kr","Busan","35.07","129.08","1698977701"
"2125","dk","Egå","56.21","10.29","1698977701"
"2126","de","Cologne","0.00","0.00","1698977701"
"2127","nl","Rotterdam","0.00","0.00","1698977701"
"2129","pl","Szczecin","53.43","14.57","1698943201"
"2130","gb","Sheerness","51.43","0.81","1698977701"
"2131","gb","Newquay-Cornwall","50.42","-5.05","1698977701"
"2132","za","Durban","-29.86","31.03","1698977701"
"2133","gb","Caithness (Scotland)","58.42","-3.50","1698977701"
"2134","us","Fort Lauderdale, FL","26.17","-80.10","1698977701"
"2136","nl","NW_Overijssel ","52.56","5.96","1698977701"
"2137","de","Bremen","53.11","8.76","1698977701"
"2139","dk","Islands Brygge","54.81","11.14","1698977701"
"2140","nl","Rotterdam","51.91","4.48","1698977701"
"2141","no","Sandnes","58.85","5.74","1698977701"
"2143","nl","Sliedrecht","51.82","4.76","1698977701"
"2145","be","Antwerp2","51.26","4.42","1698977701"
"2146","es","Palma de Mallorca","39.56","2.62","1698977701"
"2147","es","S/C de Tenerife","28.47","-16.25","1698977701"
"2149","us","Niceville, FL","30.46","-86.42","1698977701"
"2150","ie","Lackenbehy","54.57","-1.13","1698977701"
"2156","fr","Aubervilliers","48.91","2.39","1698977701"
"2157","no","Kolvereid","64.86","11.60","1698977701"
"2159","gb","Swanage","50.61","-1.95","1698977701"
"2160","no","Bergen","60.31","5.26","1698977701"
"2161","us","San Francisco","37.81","-122.43","1698977701"
"2163","au","Koumala","-21.63","149.26","1698977701"
"2164","se","Goteborg, West Coast","57.71","11.65","1698977701"
"2165","de","Hamburg","53.58","9.77","1698977701"
"2166","fr","Saint Georges de Didonnes","45.61","-1.00","1698977701"
"2167","de","BIBA","53.11","8.86","1698977701"
"2168","fr","Brest","48.40","-4.46","1698977701"
"2169","it","La Spezia","44.10","9.82","1698977701"
"2172","us","Navarre FL","30.41","-86.82","1698977701"
"2174","nz","Whakatane","-37.98","177.02","1698977701"
"2175","de","Berlin Rummelsburg","52.49","13.49","1698977701"
"2176","de","Glueckstadt","53.80","9.42","1698977701"
"2177","hk","Kowloon","22.32","114.16","1698977701"
"2178","fr","Rouen","49.44","1.03","1698977701"
"2180","fr","Rouen","49.48","0.46","1698977701"
"2181","no","Vanersborg","58.38","12.32","1698977701"
"2182","ca","Vancouver","49.28","-123.12","1698977701"
"2183","pt","Lisbon","38.73","-9.14","1698977701"
"2186","de","Könau","52.89","10.70","1698962701"
"2187","us","Canada, Monterey","36.60","-121.90","1698977701"
"2189","it","Milazzo","38.23","15.24","1698977701"
"2190","fi","Ekenas","60.00","23.42","1698977701"
"2191","gb","Aberdeen","57.16","-2.12","1698977701"
"2192","se","Norrköping","58.60","16.16","1697787902"
"2194","rs","Belgrade","44.88","20.46","1698977701"
"2196","nl","Zonnemaire","51.73","3.95","1697894402"
"2197","us","Warwick, Rhode Island","41.71","-71.45","1698977701"
"2198","no","Kristiansund","63.11","7.74","1698977701"
"2199","us","Vicksburg","32.33","-90.90","1698977701"
"2200","us","Vienna, VW","38.90","-77.27","1698977701"
"2201","pt","Lisbon","38.71","-9.17","1698977701"
"2202","ca","Ucluelet","48.94","-125.55","1698977701"
