Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port","Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Bermuda,"QUEEN MARY 2",ROTTERDAM,"2023-10-23 03:00:00",DEHAM>NLRTM,"ROTTERDAM BOTLEK",Passenger,"2023-11-03 03:07:43",51.89283,4.286855
Panama,"EVER GIVEN",TAIPEI,-,TWTPE>>CNYTT,,Cargo,"2023-11-03 03:09:58",24.80102,120.1537
Bermuda,"QUEEN ELIZABETH","PORT SAID","2023-11-03 19:00:00","PORT SAID",,Passenger,"2023-11-03 03:09:17",33.96837,28.53306
Bermuda,ECLIPSE,,"2023-05-13 11:00:00",,MARMARIS,"Pleasure Craft","2023-11-03 03:08:10",36.8421,28.28561
USA,"PAUL R.TREGURTHA",MONROE,"2023-11-02 19:00:00",MONROE,MONROE,Cargo,"2023-11-03 03:08:34",41.89217,-83.33823
Bahamas,"OASIS OF THE SEAS",COCOCAY,-,BSNAS>BSCOC,,Passenger,"2023-11-03 03:08:51",25.9944,-78.12225
USA,"TIME BANDIT",SANDPOINT,"1900-01-01 00:00:00",SANDPOINT,,Fishing,"2023-10-20 00:21:44",54.06764,-166.3324
"United Kingdom","HMS QUEEN ELIZABETH",,"1900-01-01 00:00:00",,,"Special Craft","2023-11-01 18:32:51",26.43142,50.83956
USA,NORTHWESTERN,,"2023-11-03 19:40:00",GROUNDS,"DUTCH HARBOR",Fishing,"2023-10-20 17:40:15",53.86967,-166.5542
Bahamas,"DISNEY MAGIC","SAN DIEGO","1900-01-01 00:00:00","SAN DIEGO","SAN DIEGO",Passenger,"2023-11-03 03:08:24",32.71813,-117.1743
USA,WIZARD,CORDOVA,"1900-01-01 00:00:00",CORDOVA,"DUTCH HARBOR",Fishing,"2023-10-17 04:23:41",54.0771,-166.3193
Bahamas,"DISNEY DREAM","NEW YORK",-,USNYC,,Passenger,"2023-11-02 22:19:39",32.783,-64.62783
Bahamas,"ALLURE OF THE SEAS","PORT CLINTON","2023-11-03 09:00:00","US PCN",,Passenger,"2023-11-03 03:09:47",27.60418,-80.0204
Denmark,"EMMA MAERSK",NINGBO,-,"AE JEA>CN NBG",,Cargo,"2023-11-03 03:10:00",26.26254,56.69321
Bahamas,"DISNEY WONDER",MELBOURNE,-,MELBOURNE,MELBOURNE,Passenger,"2023-11-03 03:08:38",-37.8448,144.9305
Bahamas,"DISNEY FANTASY","GORDA CAY","2023-11-03 13:00:00","BS GOC",,Passenger,"2023-11-02 21:57:54",23.33252,-72.92345
USA,"ARTHUR M.ANDERSON","GARY HARBOR","2023-11-03 16:00:00",GARY,,Cargo,"2023-11-03 03:09:43",44.17147,-87.40465
"United Kingdom",BRITANNIA,BRIDGETOWN,"2023-11-03 10:00:00",BBBGI,,Passenger,"2023-11-03 02:57:53",13.09603,-60.74571
Bermuda,"QUEEN VICTORIA",NARVIK,"2023-11-03 03:45:00","NO NVK",,Passenger,"2023-11-03 03:09:38",68.27764,15.77278
Bermuda,VENTURA,,"2023-11-03 07:00:00",ESLPL,,Passenger,"2023-11-03 03:10:13",28.71138,-16.951
Bahamas,"HARMONY OF THE SEAS",GALVESTON,"2023-11-03 11:15:00","US GLS",,Passenger,"2023-11-01 23:56:12",29.06988,-94.2726
"United Kingdom","SAILING YACHT A",TRIESTE,"2023-09-28 10:00:00","TRIESTE ANCHORAGE","MONFALCONE ANCH","Pleasure Craft","2023-11-03 03:09:15",45.71732,13.65833
Denmark,"MAERSK MC KINNEY MOLLER","TANJUNG PELEPAS","2023-11-02 21:00:00","CN YTN > MY TPP","TANJUNG PELEPAS",Cargo,"2023-11-03 03:08:48",1.352917,103.5481
Bermuda,AZURA,TENERIFE,"2023-11-03 05:00:00",TENERIFE,,Passenger,"2023-11-03 03:10:00",28.66251,-15.72575
Bermuda,ARCADIA,SOUTHAMPTON,"2023-11-01 02:00:00",GBSOU,SOUTHAMPTON,Passenger,"2023-11-03 03:07:28",50.90442,-1.428913
USA,"US GOVT VESSEL",NORFOLK,"1900-01-01 00:00:00",,,Unspecified,"2023-09-28 14:13:42",42.18466,16.21574
Bahamas,"ANTHEM OF THE SEAS",,-,USBYE,,Passenger,"2023-11-02 23:03:06",26.7439,-79.18701
USA,"CORNELIA MARIE","DUTCH HARBOR","2023-10-21 07:03:00","DUTCH HARBOR","DUTCH HARBOR",Fishing,"2023-10-19 09:47:54",53.90638,-166.5109
Bahamas,"INDEPENDENCE OF THE SEAS",,"2023-11-03 10:30:00",PCC,,Passenger,"2023-11-03 03:06:56",26.14631,-78.95554
"United Kingdom",IONA,BARCELONA,-,ESAGP>ESBCN,MALAGA,Passenger,"2023-11-03 03:08:24",36.70941,-4.414247
Bahamas,"SYMPHONY OF THE SEAS",NASSAU,-,NASSAU,,Passenger,"2023-11-03 03:09:20",33.45288,-17.6889
USA,"JAMES R.BARKER",,"2023-11-02 23:30:00","BURNS HBR",,Cargo,"2023-11-03 03:08:39",41.65779,-87.13513
Italy,AIDASOL,MINDELO,"2023-10-05 07:00:00",CVMIN,,Passenger,"2023-11-02 23:40:01",27.40401,-15.60723
Malta,"PIONEERING SPIRIT",ROTTERDAM,"2023-07-25 09:00:00",ROTTERDAM,"ROTTERDAM MAASVLAKTE","Special Craft","2023-11-03 03:07:10",51.961,3.977
USA,SAGA,"DUTCH HARBOR","1900-01-01 00:00:00","DUTCH HARBOR","KING COVE",Fishing,"2023-08-09 06:20:02",60.95764,-146.8231
Bermuda,AURORA,KINGSTOWN,"2023-11-03 10:15:00",GPPAP>VCKTN,,Passenger,"2023-11-03 03:09:51",14.90617,-61.54119
"Cayman Is",OCTOPUS,BREMERHAVEN,"2023-10-11 11:11:00","DE BRV",BREMERHAVEN,"Pleasure Craft","2023-11-03 03:07:33",53.56925,8.55467
Norway,"STATSRAAD LEHMKUHL",BERGEN,"2023-10-04 12:00:00","NO BGO>NO BGO",BERGEN,"Special Craft","2023-10-06 13:48:45",60.38804,5.296713
Malta,"CELEBRITY SILHOUETTE",LABADIE,-,HTLAB,,Passenger,"2023-11-02 23:36:53",25.39454,-79.73131
Malta,"CELEBRITY ECLIPSE","LOS ANGELES",-,"LOS ANGELES",,Passenger,"2023-11-03 03:04:43",20.73161,-106.1014
Italy,AIDAPRIMA,HAMBURG,"2023-11-02 23:30:00",DEHAM,,Passenger,"2023-11-03 03:09:44",53.7325,9.443784
Bahamas,BOREALIS,COBH,-,IECOB,,Passenger,"2023-11-03 03:09:26",54.31528,-5.31067
"Cayman Is",DILBAR,OLBIA,"2023-05-27 09:08:00",OLBIA,,"Pleasure Craft","2023-05-27 09:22:39",52.33827,10.47828
Malta,"MEIN SCHIFF 3",TENERIFE,-,ESSCT,,Passenger,"2023-11-02 01:20:11",43.33623,-10.443
UAE,AZZAM,,-,"SIR ABU NUAYR",KHALIFA,"Pleasure Craft","2023-10-03 06:58:35",24.79747,54.65152
Greece,"BLUE STAR MYCONOS",SYROS,"2023-11-03 16:35:00",L-M-C-V-K-F-AG-M-S-P,PIRAEUS,Passenger,"2023-11-03 03:08:00",37.94431,23.63843
"Sierra Leone",A,DUBAI,-,AEDXB,DUBAI,"Pleasure Craft","2023-11-03 03:10:04",25.2667,55.28431
Canada,"POLAR PRINCE",PICTOU,"2023-09-10 11:00:00","CA PTO",PICTOU,"Special Craft","2023-11-03 03:08:54",45.67419,-62.70417
Greece,"PSARA GLORY",CHIOS,"2023-11-03 16:15:00","PSARA CHIOS PSARA",PSARA,Passenger,"2023-11-03 03:09:33",38.53912,25.56675
Bahamas,DEUTSCHLAND,"CAPE TOWN",-,"ZA CPT",,Passenger,"2023-11-02 22:23:33",15.18378,-17.89663
USA,"MESABI MINER","DULUTH SUPERIOR","2023-11-03 12:30:00",DULUTH,,Cargo,"2023-11-03 03:09:27",47.24269,-89.93697
Panama,"MSC SPLENDIDA","SUEZ CANAL","2023-11-02 17:00:00",EGSUZ,"PORT SAID ANCH",Passenger,"2023-11-03 03:09:07",31.37953,32.3351
Bahamas,"NORWEGIAN EPIC",MESSINA,"2023-11-03 04:30:00","MT MLA>IT MSN",,Passenger,"2023-11-03 03:08:45",37.75848,15.61788
USA,KENNEDY,GALVESTON,"2023-08-05 12:30:00",GALVESTON,GALVESTON,"Special Craft","2023-08-06 04:47:44",29.31265,-94.8189
USA,"EDWIN H.GOTT","GARY HARBOR",-,GARY,,Cargo,"2023-11-03 03:10:07",46.01418,-83.90294
Panama,"MSC MAGNIFICA",MALAGA,-,ESAGP,,Passenger,"2023-11-03 03:10:06",39.02884,3.347855
Bahamas,"NORWEGIAN BREAKAWAY",PIRAEUS,-,PIRAEUS^2CGR,,Passenger,"2023-11-03 03:10:03",39.57038,14.35439
Turkey,"ORUC REIS",,"2023-05-28 16:00:00","KEEP CPA 2 NM",FILYOS,"Special Craft","2023-10-30 16:56:56",41.58843,32.0846
Bahamas,"THE WORLD",,"2023-11-02 20:00:00","PA FLAMENCO IS","PANAMA ANCH PACIFIC",Passenger,"2023-11-03 03:10:00",8.9166,-79.51237
Bahamas,"FREEDOM OF THE SEAS",COCOCAY,"2023-11-02 12:15:00",COCOCAY,,Passenger,"2023-11-03 03:09:29",25.9057,-79.65733
Bahamas,"OVATION OF THE SEAS",NOUMEA,-,"NC NOU",SYDNEY,Passenger,"2023-11-03 03:06:56",-33.85945,151.2103
France,"PONT AVEN",PLYMOUTH,"2023-10-31 20:00:00",GBPLY,PLYMOUTH,Passenger,"2023-11-03 03:08:40",50.36305,-4.155185
Bahamas,"EXPLORER OF THE SEAS",,"2023-10-03 06:15:00","GRAN CANARIAS, SPAIN",,Passenger,"2023-11-03 03:10:02",28.34748,-14.91821
Bahamas,ARTANIA,CHARLESTON,-,USCHS,,Passenger,"2023-11-03 02:25:18",36.7808,-75.74781
Malta,"MARELLA EXPLORER",MALAGA,"2023-11-03 06:00:00",ESAGP,,Passenger,"2023-11-03 03:10:10",36.60302,-3.832583
Bermuda,"ROYAL PRINCESS",,-,"NZ FJ1",,Passenger,"2023-11-02 11:46:24",-34.33988,152.0504
Bahamas,"LIBERTY OF THE SEAS",COZUMEL,"2023-11-03 11:15:00",COZUMEL,,Passenger,"2023-11-02 23:23:15",18.78815,-87.56065
Malta,"CELEBRITY SOLSTICE",SINGAPORE,"2023-11-02 21:00:00","SG SIN",SINGAPORE,Passenger,"2023-11-03 03:08:47",1.266347,103.8595
Bahamas,"QUANTUM OF THE SEAS",BRISBANE,-,BRISBANE,,Passenger,"2023-11-02 02:42:46",-19.4048,162.3096
Panama,"MSC PREZIOSA",BUZIOS,"2023-11-03 12:42:00","BR BZC",,Passenger,"2023-11-03 03:09:26",-23.88598,-44.73549
Panama,"MSC FANTASIA",BARCELONA,"2023-11-03 07:00:00",ESBCN,,Passenger,"2023-11-03 02:49:55",40.37773,4.322182
France,LHERMIONE,BAYONNE,"2021-09-16 12:30:00","FR BAY",BAYONNE,"Sailing Vessel","2021-09-20 13:39:19",43.50928,-1.497262
France,ATALANTE,BREST,"2023-10-11 06:00:00",BREST,BREST,"Special Craft","2023-11-03 03:09:35",48.38088,-4.482227
Bahamas,BALMORAL,BILBAO,"2023-11-02 15:00:00",ESBIO,BILBAO,Passenger,"2023-11-03 03:06:55",43.34081,-3.025552
Germany,"GORCH FOCK",KIEL,"1900-01-01 00:00:00",,KIEL,"Special Craft","2023-11-03 03:09:49",54.35338,10.14406
Greece,"BLUE STAR PATMOS",TILOS,"2023-11-03 03:35:00",P-L-K-K-N-T-S-R-M,,Passenger,"2023-11-03 03:10:16",36.51151,27.33983
Panama,"CARNIVAL BREEZE",COZUMEL,-,"MX CZM",,Passenger,"2023-11-03 00:56:29",28.74314,-93.73705
Italy,AIDALUNA,"LA ROMANA",-,"GPPTP - DOLRM",,Passenger,"2023-11-03 03:09:37",15.91999,-62.28213
Malta,"MALTESE FALCON","PALMA DE MALLORCA","2023-09-11 23:00:00","ES PMI","PALMA DE MALLORCA","Pleasure Craft","2023-11-03 03:05:22",39.56361,2.636927
Malta,"CELEBRITY REFLECTION","ST JOHNS",-,"AG SJO",,Passenger,"2023-11-03 03:07:20",25.94823,-78.07327
USA,"LEE A.TREGURTHA",,"2023-11-02 15:30:00",DEARBORN,DETROIT,Cargo,"2023-11-03 03:07:43",42.30326,-83.15914
Bahamas,"ICON OF THE SEAS",,"2023-10-29 08:00:00","SEA TRIAL",,Passenger,"2023-11-03 03:09:42",59.26172,20.7013
Bahamas,"CMA CGM MARCO POLO","PORT KLANG",-,"PORT KLANG",,Cargo,"2023-11-02 18:38:57",20.36717,38.67508
Bermuda,"REGAL PRINCESS",ARUBA,"2023-10-31 10:30:00",ORANJESTAD,ARUBA,Passenger,"2023-10-31 17:11:56",12.51672,-70.03979
Bahamas,"NAVIGATOR OF THE SEAS","LOS ANGELES","2023-11-03 12:30:00","US LAX",,Passenger,"2023-11-03 03:10:11",32.06903,-117.0524
Dominica,"STEVE IRWIN",MELBOURNE,"2019-12-18 14:00:00",MELBOURNE,MELBOURNE,Fishing,"2019-05-27 03:53:18",-37.86062,144.9087
Denmark,"MAJESTIC MAERSK","TANJUNG PELEPAS",-,EGSUZ>MYTPP,,Cargo,"2023-11-01 14:25:42",12.33148,45.2456
Bermuda,"EMERALD PRINCESS","NEW YORK",-,"NEW YORK",,Passenger,"2023-11-03 03:09:40",43.16427,-64.58737
Bahamas,"ADVENTURE OF THE SEAS",,-,FLL,,Passenger,"2023-11-02 20:18:13",22.21194,-70.20203
Malta,"CELEBRITY EQUINOX","PUERTO PLATA","2023-11-03 14:30:00","DO POP",,Passenger,"2023-11-03 01:51:27",18.95878,-66.45525
USA,"STEWART J.CORT","BURNS HARBOR","2023-11-04 02:00:00","BURNS HARBOR",,Cargo,"2023-11-03 03:09:31",45.87739,-84.33926
Italy,AIDAMAR,SORTLAND,"2023-11-02 17:15:00","NO SLX",SORTLAND,Passenger,"2023-11-03 03:09:38",68.70144,15.41943
Poland,"DAR MLODZIEZY","LE HAVRE","2023-10-28 19:00:00",FRLEH,"LE HAVRE","Sailing Vessel","2023-11-03 03:09:12",49.48026,0.127855
Panama,"CARNIVAL DREAM",GALVESTON,-,"JM FMH > US GLS",,Passenger,"2023-11-02 08:30:40",19.88437,-81.38321
Malta,"MEIN SCHIFF 4","LA ROMANA","2023-11-03 10:00:00",DOLRM,,Passenger,"2023-11-02 13:40:25",17.36415,-65.88372
Greece,"BLUE STAR 2",,"2023-11-03 06:20:00","KO KA LE PA PI",,Passenger,"2023-11-03 03:10:06",37.52053,24.649
USA,"USNS COMFORT",NORFOLK,-,"NORFOLK, VA",MOBILE,"Special Craft","2023-11-03 02:55:49",30.68,-88.035
Bahamas,"NORWEGIAN GETAWAY","NEW YORK","2023-11-04 06:15:00","NEW YORK^2CUSA",,Passenger,"2023-10-30 07:54:26",37.81435,-30.02051
Norway,"COLOR MAGIC",KIEL,"2023-11-02 09:00:00",DEKEL,,Passenger,"2023-11-03 03:09:08",55.68307,10.79053
USA,SEABROOKE,,"1900-01-01 00:00:00","HELLS BUCKET",,Fishing,"2023-10-16 01:57:50",53.86932,-166.554
Panama,"MSC DIVINA",MARSEILLE,-,FRMRS,,Passenger,"2023-11-03 03:09:41",37.2411,-0.9558117
Italy,AIDAPERLA,PHILIPSBURG,-,SXPHI,,Passenger,"2023-10-31 05:38:06",27.33385,-17.93874
Bahamas,"VOYAGER OF THE SEAS",GALVESTON,-,"GALVESTON,USA",,Passenger,"2023-11-03 02:55:50",21.98818,-86.88672
Norway,"COLOR FANTASY",OSLO,"2023-11-03 09:00:00",NOOSL<>DEKEL,,Passenger,"2023-11-03 03:09:39",58.22549,11.05081
Germany,"SEA WATCH 3",GHENT,"2023-03-05 08:00:00","BE GNE",GHENT,"Special Craft","2023-05-04 08:48:18",51.09944,3.734122
Panama,"CARNIVAL JUBILEE",EEMSHAVEN,"1900-01-01 00:00:00",EEMSHAVEN,EEMSHAVEN,Passenger,"2023-11-03 03:09:30",53.45006,6.819127
Malta,"CELEBRITY EDGE","SUEZ CANAL","2023-11-03 20:00:00","SUEZ CANAL PORT SAI",,Passenger,"2023-11-03 03:09:53",34.95839,27.0367
Bermuda,"QUEEN OF THE OCEANS",SOUTHAMPTON,"2023-07-17 03:15:00","GBSOU > GRGPA",PATRA,Passenger,"2023-10-23 13:16:16",38.2547,21.73642
Panama,"MSC ORCHESTRA",LISBOA,"2023-11-03 05:00:00",PTLIS,,Passenger,"2023-11-03 02:27:26",37.13445,-9.34845
Bermuda,"PIANO LAND",XIAMEN,"2023-10-09 05:30:00",CNXMN,XIAMEN,Passenger,"2023-11-03 03:04:20",24.48843,118.0694
Bermuda,"CARIBBEAN PRINCESS","PORT EVERGLADES","2023-11-03 11:15:00",USPEF-GDT,,Passenger,"2023-11-01 09:41:38",25.056,-75.98908
Malta,"MARELLA DISCOVERY",,-,USPCA,,Passenger,"2023-11-03 03:09:19",41.73505,-69.66256
Greece,"BLUE STAR NAXOS",ASTYPALEA,"2023-11-03 03:35:00","SR PR NX DN AIG AST",,Passenger,"2023-11-03 03:10:05",36.53403,26.25797
"Cayman Is","RISING SUN",MIAMI,"2023-10-19 08:08:00","US PWM>US MIA",MIAMI,"Pleasure Craft","2023-11-03 03:05:32",25.78424,-80.17923
Netherlands,"BOB BARKER",IZMIR,"2022-10-05 07:00:00",IZMIR,"ALIAGA ANCH",Fishing,"2022-11-15 11:22:08",38.8557,26.89901
Bermuda,"GRAND PRINCESS",AIRLIE,"2023-11-02 22:00:00","AU WSY","AIRLIE ANCH",Passenger,"2023-11-03 03:08:23",-20.21965,148.7396
Bahamas,"BRILLIANCE OF THE SEAS",,"2023-11-02 19:00:00","PORT VILLE","PORT VILA",Passenger,"2023-11-03 01:45:31",-17.75652,168.299
Germany,"ALEX VON HUMBOLDT 2",CHERBOURG,"2023-11-01 06:00:00",CHERBOURG,,"Special Craft","2023-10-29 13:44:01",46.62799,-7.78395
Bermuda,"RUBY PRINCESS",CARTAGENA,"2023-11-03 09:45:00",CARTAGENA,,Passenger,"2023-11-03 01:30:25",9.734696,-79.62762
Greece,"BLUE STAR 1",KOS,"2023-11-03 05:50:00","PIR VATH KO ROD",,Passenger,"2023-11-03 03:10:03",37.62983,26.59733
Italy,"COSTA PACIFICA",VALLETTA,-,MTMLA,,Passenger,"2023-11-03 02:47:41",40.60235,27.1957
USA,"KAYE E.BARKER","PORT DOLOMITE","2023-11-03 07:00:00","PORT DOLOMITE",,Cargo,"2023-11-03 03:10:00",45.32974,-85.6068
USA,"US GOVERNMENT VESSEL",NORFOLK,"1900-01-01 00:00:00",,,"Special Craft","2023-10-28 06:51:38",35.99829,-5.26247
Panama,THIALF,,"2023-10-26 23:00:00","AO1 WINDFARM",,"Special Craft","2023-11-03 03:07:35",54.80233,13.72017
Italy,AIDABLU,RHODES,"2023-11-03 07:00:00","GR RHO",,Passenger,"2023-11-03 03:09:10",36.23909,27.16708
Netherlands,EURODAM,ROSEAU,"2023-11-03 11:00:00","DM RSU",,Passenger,"2023-11-03 03:09:18",14.59944,-61.5084
USA,"AMERICAN INTEGRITY",CLEVELAND,"2023-11-01 02:30:00","THE CLEVELAND",,Cargo,"2023-11-03 00:07:15",47.27845,-86.51401
Bahamas,"DISNEY WISH","CAPE CANAVERAL","2023-11-03 06:30:00","BS GOC-US PCV",,Passenger,"2023-11-03 03:09:30",27.60741,-79.84435
Netherlands,KONINGSDAM,"SAN DIEGO",-,MXPVR>USSAN,,Passenger,"2023-11-02 03:27:58",20.65,-105.9065
Bermuda,"CROWN PRINCESS",ENSENADA,"2023-11-03 13:30:00","MX, ENSENADA","SAN DIEGO",Passenger,"2023-11-03 03:09:29",32.71668,-117.1741
Russia,AMBAL,UST-LUGA,-,"RU BALT/RU ULU",,Cargo,"2023-11-03 03:09:03",58.31107,21.00228
"United Kingdom","HMS DUNCAN",STAVANGER,-,,,"Special Craft","2023-10-27 09:01:43",35.55423,24.42489
Bahamas,"NORWEGIAN ESCAPE","NEW YORK",-,"NYC, USA",,Passenger,"2023-11-02 22:36:58",32.70477,-64.46247
Russia,KRUZENSHTERN,KALININGRAD,"2023-04-29 19:00:00",KALININGRAD,KALININGRAD,"Sailing Vessel","2023-11-03 03:09:51",54.69878,20.46993
Greece,"BLUE STAR DELOS",PAROS,"2023-11-03 09:35:00",PIR-PAR-NAX-IO-THIR,PIRAEUS,Passenger,"2023-11-03 03:09:29",37.94696,23.64028
Malta,"MARELLA VOYAGER","ST JOHNS","2023-10-08 12:00:00",AGSJO,,Passenger,"2023-11-02 05:11:58",27.25106,-18.4701
Bahamas,"NORWEGIAN JADE",LISBOA,"2023-11-03 05:45:00","ES CAD > PT LIS",,Passenger,"2023-11-03 03:10:19",37.84737,-9.408005
Norway,"CHRISTIAN RADICH",FUNCHAL,"1900-01-01 00:00:00","PT LIS>PT FNC",FUNCHAL,"Special Craft","2023-11-03 03:06:42",32.64292,-16.91455
"United Kingdom","PACIFIC EXPLORER",PICTON,-,PICTON,AUCKLAND,Passenger,"2023-11-03 03:09:16",-36.84232,174.7685
Malta,"CELEBRITY CONSTELLATION",CORFU,"2023-11-03 05:45:00","GR CFU",,Passenger,"2023-11-03 03:09:31",40.10253,19.52069
USA,ALPENA,ALPENA,"2023-11-03 15:00:00",ALPENA,,Cargo,"2023-11-03 03:10:18",43.07844,-82.41325
Bahamas,AMERA,GDANSK,"2023-10-16 16:45:00",PLGDN,GDANSK,Passenger,"2023-10-17 07:03:01",54.38037,18.65459
France,BELEM,"LA SEYNE-SUR-MER","2023-10-19 08:00:00","FR YNE","LA SEYNE-SUR-MER","Special Craft","2023-11-03 03:09:15",43.10319,5.887807
"Faroe Is",NORRONA,HIRTSHALS,-,HIRTSHALS,,Passenger,"2023-11-02 22:05:22",61.78447,-5.76774
Bahamas,"RADIANCE OF THE SEAS",TAMPA,-,"US TPA",,Passenger,"2023-11-02 22:08:23",18.73526,-87.67905
Italy,AIDASTELLA,"LA PALMA","2023-11-03 09:00:00",ESSPC,,Passenger,"2023-11-03 03:09:42",28.85588,-16.087
Bahamas,"JEWEL OF THE SEAS","SYDNEY NOVA SCOTIA","2023-11-03 09:30:00","CA SYD",,Passenger,"2023-11-03 01:35:49",46.23714,-61.92932
Netherlands,"NIEUW AMSTERDAM","PORT EVERGLADES","2023-11-04 05:45:00","US PEF",,Passenger,"2023-11-02 00:17:23",12.85221,-69.89244
Greece,"BLUE STAR CHIOS",ANAFI,"2023-11-03 03:35:00",RO-HA-D-KR-K-S-A-T-P,,Passenger,"2023-11-03 03:09:55",36.21557,25.79481
Malta,"MEIN SCHIFF 1",TENERIFE,"2023-11-03 06:45:00","ES SCT",,Passenger,"2023-11-03 03:10:09",28.09142,-16.12666
Italy,AIDABELLA,MALE,-,"MV MLE",,Passenger,"2023-11-03 03:08:50",21.04307,61.6849
USA,"AMERICAN CENTURY","DULUTH SUPERIOR","2023-11-03 18:00:00",SUPERIOR,,Cargo,"2023-11-03 03:09:01",47.46272,-87.66244
Panama,"MSC POESIA",PIRAEUS,-,"GR PIR",,Passenger,"2023-11-03 03:09:53",40.72911,27.54967
Bahamas,"RHAPSODY OF THE SEAS",LIMASSOL,-,LIMASSOL,,Passenger,"2023-11-03 00:50:38",33.60691,32.78075
Bahamas,AMBIENCE,ALEXANDRIA,-,"EG ALY",,Passenger,"2023-11-03 03:09:49",34.92186,26.79498
Bahamas,"WONDER OF THE SEAS","CAPE CANAVERAL",-,"US PCV",,Passenger,"2023-11-03 00:36:24",18.50726,-63.63575
Norway,"VIKING OCTANTIS",,-,GRYTVIKEN,,Passenger,"2023-11-02 22:00:21",-51.7327,-56.84455
"Cayman Is",SERENE,,"2023-10-25 12:00:00","ON PASSAGE",VLISSINGEN,"Pleasure Craft","2023-10-25 08:37:03",51.46012,3.675313
Korea,BANGJE23JUNG,DAESAN,"1900-01-01 00:00:00",,,Unspecified,"2023-06-16 19:14:40",37.01822,126.4384
USA,"EMPIRE STATE",BROWNSVILLE,"2022-11-27 14:00:00","BROWNSVILLE TX",BROWNSVILLE,"Special Craft","2022-11-27 20:13:54",25.95079,-97.40211
