Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Bahamas,"SEABOURN QUEST","NEW YORK","2023-11-02 09:30:00",USNYC,"NEW YORK",9483126,Passenger,"2023-11-03 02:49:24",40.76752,-73.99762
Bermuda,ARCHIMEDES,CHELSEA,"2023-11-02 22:00:00","CHELSEA PIERS NYC","NEW YORK",1009637,"Pleasure Craft","2023-11-03 02:52:15",40.74599,-74.01118
"Hong Kong","COSCO DEVELOPMENT","NEW YORK","2023-11-02 07:30:00",USNYC,"NEW YORK",9472139,Cargo,"2023-11-03 02:51:06",40.67147,-74.1403
USA,"USNS SUPPLY",,"1900-01-01 00:00:00",0,"EARLE NAVAL STATION",8644199,"Special Craft","2023-11-01 03:40:34",40.45515,-74.05122
Liberia,"ALBERT MAERSK","SUEZ CANAL",-,EGSUZ,"NEW YORK",9260469,Cargo,"2023-11-03 02:50:17",40.66448,-74.14521
USA,"USNS RED CLOUD",BUSAN,"1900-01-01 00:00:00",,"NEW YORK",9145449,"Special Craft","2023-11-02 10:55:12",40.66311,-74.07241
Liberia,"TANGIER EXPRESS","NEW YORK","2023-10-30 16:00:00",USCHS>>USNYC,"NEW YORK",9525900,Cargo,"2023-11-03 02:48:47",40.67082,-74.07986
France,"SPINDRIFT 2",,,"No data (CLASS B transponder)",,0,"Sailing Vessel","2023-10-18 19:14:13",40.58498,-73.90204
Panama,"FUGRO EXPLORER",,"2023-11-02 18:00:00","DRILLING OPS CPA 1NM",,9208564,"Special Craft","2023-11-03 02:51:13",40.14347,-73.47916
Panama,"MSC MAUREEN","NEW YORK","2023-11-02 11:00:00",USNYC,"NEW YORK",9251717,Cargo,"2023-11-03 02:51:21",40.68328,-74.14964
USA,"ELK RIVER","NEW YORK","1900-01-01 00:00:00","US NYC","NEW YORK",9564047,Tug,"2023-11-03 02:50:10",40.67507,-74.04904
Panama,"AQUAMARINE ACE",BALTIMORE,"2023-11-03 17:00:00","US BAL",,9397987,Cargo,"2023-11-03 02:51:46",40.34683,-73.81255
Liberia,"MSC SAO PAULO V","NEW YORK","2023-10-26 14:30:00",USNYC,"NEW YORK",9147071,Cargo,"2023-11-03 02:49:27",40.68566,-74.15359
Liberia,"HAMMONIA BALTICA",NORFOLK,"2023-11-03 03:00:00",NORFOLK,,9481532,Cargo,"2023-11-01 11:03:45",39.97549,-73.84856
Italy,"GRANDE COSTA D'AVORIO","NEW YORK","2023-07-04 01:00:00",USNYC,"NEW YORK",9465382,Cargo,"2023-07-07 12:45:12",40.69255,-74.13901
Malta,TAURUS,"NEW YORK","2023-11-01 11:00:00",USNYC,"NEW YORK",9728942,Cargo,"2023-11-03 02:49:41",40.67872,-74.14597
Japan,"ONE GRUS","NEW YORK","2023-10-30 12:45:00","US NYC","NEW YORK",9806067,Cargo,"2023-11-03 02:49:35",40.67273,-74.08392
Liberia,"AGIOS DIMITRIOS","NEW YORK","2023-11-02 12:00:00",USNYC,"NEW YORK",9349605,Cargo,"2023-11-03 02:52:03",40.68133,-74.14682
Liberia,"DUBAI EXPRESS",BALTIMORE,"2023-11-04 02:00:00",USNYC>USBAL,"NEW YORK",9440825,Cargo,"2023-11-03 02:50:41",40.66051,-74.15202
Panama,"MORNING CLAIRE",BRUNSWICK,-,"US SSI",,9620683,Cargo,"2023-11-03 02:51:44",40.26084,-73.82034
USA,"UTOPIA IV",CHELSEA,"2023-10-10 15:00:00","CHELSEA PIERS NYC","NEW YORK",9851050,"Pleasure Craft","2023-11-03 02:47:36",40.7464,-74.01029
Panama,"GRAND DOLPHIN",DAVISVILLE,-,"US DVV","NEW YORK",9279329,Cargo,"2023-11-03 02:51:06",40.69767,-74.1508
Liberia,"ZIM PUSAN",BALTIMORE,"2023-11-04 03:00:00",USBAL,"NEW YORK",9200706,Cargo,"2023-11-03 02:49:43",40.66183,-74.15531
Liberia,"ORANGE SUN","NEW YORK","2023-11-01 02:00:00",USEWR,"NEW YORK",9342580,Tanker,"2023-11-03 02:51:15",40.68881,-74.13605
USA,"USNS GYSGT FRED W.STOCKHAM",,"2023-08-14 08:00:00","NWS EARLE, NJ","EARLE NAVAL STATION",7825423,"Special Craft","2023-11-03 02:51:43",40.45515,-74.05466
USA,"CANYON RUNNER",,,"No data (CLASS B transponder)",,0,"Pleasure Craft","2023-10-16 21:01:18",40.07685,-73.95816
USA,"ATLANTIC SALVOR","NEW YORK","2023-07-08 07:00:00","US EWR","NEW YORK",7719624,Tug,"2023-11-03 02:50:29",40.6995,-74.15169
USA,"USNS WALTER S.DIEHL",,"1900-01-01 00:00:00",0,"EARLE NAVAL STATION",8511495,Tanker,"2022-04-02 12:57:56",40.4559,-74.0542
USA,"RUTH M. REINAUER","NEW YORK","2023-11-02 09:30:00","US NYC","NEW YORK",9559779,Tug,"2023-11-03 02:51:26",40.6606,-74.04465
Malta,"CMA CGM BEIRA",CARTAGENA,-,COCTG,,9302956,Cargo,"2023-11-03 02:51:46",40.46129,-73.85992
"Marshall Is","PALANCA CADIZ",BAYWOOD,"2023-10-31 16:00:00","US BAY","NEW YORK",9748007,Tanker,"2023-11-03 02:52:17",40.63445,-74.06199
Malta,"CSL FLEXVIK","NEW YORK","2023-11-02 18:00:00","ST. GEORGE BERMUDA","ST GEORGES",9521825,Cargo,"2023-10-31 04:16:28",40.43623,-73.75169
USA,"KINGS POINTER","KINGS POINT","2023-10-20 07:00:00","KINGS POINT,NY","KINGS POINT",7925302,"Special Craft","2023-11-03 02:49:25",40.81167,-73.7655
